NM_CANDIDATO,kmeans,y,x
MARCIO TADEU ANHAIA DE LEMOS,4,15,31
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,4,14,31
RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,4,13,31
FELIPE AUGUSTO LYRA CARRERAS,4,12,31
LEONARDO BARRETO DE MORAES,4,11,31
LUIZ PHILIPPE DE ORLEANS BRAGANÇA,4,10,31
HERCÍLIO ARAÚJO DINIZ FILHO,4,9,31
ROBERTO SEBASTIÃO PETERNELLI JUNIOR,4,8,31
FLAVIA CAROLINA PERES,4,7,31
ALEXIS JOSEPH STEVERLYNCK FONTEYNE,4,6,31
ADRIANA MIGUEL VENTURA,4,5,31
ELIAS VAZ DE ANDRADE,4,4,31
LUCAS BELLO REDECKER,4,3,31
EMANUEL PINHEIRO DA SILVA PRIMO,4,2,31
RODRIGO COELHO,4,1,31
VINICIUS LAZZER POIT,4,16,32
KIM PATROCA KATAGUIRI,4,15,32
PAULO GUSTAVO GANIME ALVES TEIXEIRA,4,14,32
MARCEL VAN HATTEM,4,13,32
FRANCO CARTAFINA GOMES,4,12,32
CELIO STUDART BARBOSA,4,11,32
